third_party_domain,tracker_entity,tracker_category,consent_mode,requests,sites_present,resource_types
richaudience.com,,,ignore,6,2,"xhr,document"
smartlook.com,,,accept,6,2,script
adsafeprotected.com,,,ignore,5,2,"image,script"
jhmt.cz,,,reject,5,2,"script,image"
seznamdiskuze.cz,,,accept,5,2,xhr
seznamdiskuze.cz,,,ignore,5,2,xhr
speedcurve.com,,,accept,5,2,"script,image"
adocean.pl,,,accept,4,2,script
adocean.pl,,,ignore,4,2,script
adocean.pl,,,reject,4,2,script
alza.cz,,,ignore,4,2,"image,script"
lnd.bz,,,accept,4,2,script
lnd.bz,,,ignore,4,2,script
lnd.bz,,,reject,4,2,script
speedcurve.com,,,ignore,4,2,script
speedcurve.com,,,reject,4,2,script
twitter.com,Twitter/X,social,ignore,4,2,"script,document,fetch,image"
twitter.com,Twitter/X,social,reject,4,2,"script,document,fetch,image"
3lift.com,,,reject,3,2,fetch
adactive.cz,,,ignore,3,2,script
adactive.cz,,,reject,3,2,script
alza.cz,,,accept,3,2,"script,image"
eco-cmp.cz,,,ignore,3,2,document
etargetnet.com,,,ignore,3,2,script
id5-sync.com,,,ignore,3,2,"script,fetch"
newrelic.com,New Relic,analytics,reject,3,2,script
pszn.cz,,,ignore,3,2,fetch
seznamdiskuze.cz,,,reject,3,2,xhr
toplist.cz,Seznam.cz,analytics,accept,3,2,image
toplist.cz,Seznam.cz,analytics,ignore,3,2,image
toplist.cz,Seznam.cz,analytics,reject,3,2,image
adactive.cz,,,accept,2,2,script
alza.cz,,,reject,2,2,"script,image"
cdn-apple.com,,,accept,2,2,script
cdn-apple.com,,,ignore,2,2,script
cdn-apple.com,,,reject,2,2,script
eco-cmp.cz,,,accept,2,2,document
eco-cmp.cz,,,reject,2,2,document
etargetnet.com,,,accept,2,2,script
etargetnet.com,,,reject,2,2,script
hotjar.com,Hotjar,analytics,ignore,2,2,script
hotjar.com,Hotjar,analytics,reject,2,2,script
pszn.cz,,,accept,2,2,fetch
pszn.cz,,,reject,2,2,fetch
tiktokw.us,,,ignore,2,2,ping
tiktokw.us,,,reject,2,2,ping
pmgstatic.com,,,ignore,254,1,"stylesheet,script,image,font"
pmgstatic.com,,,reject,254,1,"stylesheet,script,image,font"
pmgstatic.com,,,accept,253,1,"stylesheet,script,image,font"
csu.gov.cz,,,accept,212,1,"document,stylesheet,script,image,other,font,ping,fetch"
csu.gov.cz,,,ignore,212,1,"document,stylesheet,script,image,other,font,ping,fetch"
csu.gov.cz,,,reject,212,1,"document,stylesheet,script,image,other,font,ping,fetch"
mv.gov.cz,,,reject,212,1,"document,stylesheet,script,image,font"
portal.gov.cz,,,accept,212,1,"document,stylesheet,script,image,font,fetch"
portal.gov.cz,,,ignore,212,1,"document,stylesheet,script,image,font,fetch"
portal.gov.cz,,,reject,212,1,"document,stylesheet,script,image,font,fetch"
erstegroup.com,,,ignore,172,1,"font,script,image,stylesheet,xhr,fetch"
erstegroup.com,,,reject,172,1,"font,script,image,stylesheet,xhr,fetch"
erstegroup.com,,,accept,170,1,"font,script,image,stylesheet,xhr,fetch"
msmt.gov.cz,,,accept,161,1,"document,stylesheet,script,image,font"
msmt.gov.cz,,,ignore,161,1,"document,stylesheet,script,image,font"
msmt.gov.cz,,,reject,161,1,"document,stylesheet,script,image,font"
mv.gov.cz,,,accept,159,1,"document,stylesheet,script,image,font"
allegroimg.com,,,reject,156,1,image
allegroimg.com,,,accept,155,1,image
bstatic.com,,,accept,141,1,"stylesheet,script,image"
bstatic.com,,,ignore,141,1,"stylesheet,script,image"
bstatic.com,,,reject,141,1,"stylesheet,script,image"
rb.cz,,,accept,138,1,"document,other,stylesheet,script,image,font,fetch,xhr"
rb.cz,,,reject,138,1,"document,other,stylesheet,script,image,font,fetch,xhr"
msp.gov.cz,,,accept,136,1,"document,stylesheet,script,image,font"
msp.gov.cz,,,ignore,136,1,"document,stylesheet,script,image,font"
msp.gov.cz,,,reject,136,1,"document,stylesheet,script,image,font"
ngacm.com,,,accept,129,1,xhr
allegrostatic.com,,,accept,122,1,"image,stylesheet,script,font,other"
allegrostatic.com,,,reject,122,1,"image,stylesheet,script,font,other"
rb.cz,,,ignore,122,1,"document,other,stylesheet,script,image,font,fetch,xhr"
ngacm.com,,,reject,118,1,xhr
allegroimg.com,,,ignore,114,1,image
allegrostatic.com,,,ignore,110,1,"image,stylesheet,script,font,other"
mv.gov.cz,,,ignore,106,1,"document,stylesheet,script,image,font"
siteone.io,,,ignore,94,1,"script,image,xhr,font,fetch"
mzp.gov.cz,,,accept,88,1,"document,stylesheet,image,script,font"
mzp.gov.cz,,,ignore,88,1,"document,stylesheet,image,script,font"
mzp.gov.cz,,,reject,88,1,"document,stylesheet,image,script,font"
eco-files.cz,,,accept,84,1,"stylesheet,font,script,image"
eco-files.cz,,,ignore,84,1,"stylesheet,font,script,image"
eco-files.cz,,,reject,82,1,"stylesheet,font,script,image"
vut.cz,,,accept,80,1,"document,stylesheet,script,image,other,font"
vut.cz,,,ignore,80,1,"document,stylesheet,script,image,other,font"
vut.cz,,,reject,80,1,"document,stylesheet,script,image,other,font"
ngacm.com,,,ignore,71,1,xhr
mapy.com,,,accept,64,1,"document,stylesheet,script,fetch,xhr,image,font"
mapy.com,,,ignore,64,1,"document,stylesheet,script,fetch,xhr,image,font"
mapy.com,,,reject,64,1,"document,stylesheet,script,fetch,xhr,image,font"
mf.gov.cz,,,accept,62,1,"document,script,stylesheet,image,other"
twimg.com,Twitter/X,cdn,ignore,60,1,"script,image,font"
twimg.com,Twitter/X,cdn,reject,60,1,"script,image,font"
fbcdn.net,Meta,cdn,accept,59,1,"stylesheet,script,image"
fbcdn.net,Meta,cdn,ignore,59,1,"stylesheet,script,image"
fbcdn.net,Meta,cdn,reject,59,1,"stylesheet,script,image"
mf.gov.cz,,,reject,59,1,"document,script,stylesheet,image,other"
twimg.com,Twitter/X,cdn,accept,58,1,"script,image,font"
mf.gov.cz,,,ignore,57,1,"document,script,stylesheet,image,other"
xsd.cz,,,ignore,57,1,"image,stylesheet,script,font"
xsd.cz,,,accept,56,1,"image,stylesheet,script,font"
xsd.cz,,,reject,56,1,"image,stylesheet,script,font"
fin.cz,,,accept,53,1,"image,script,stylesheet,document"
fin.cz,,,reject,53,1,"image,script,stylesheet,document"
siteone.io,,,accept,49,1,"script,image,xhr,font,fetch"
siteone.io,,,reject,49,1,"script,image,xhr,font,fetch"
fin.cz,,,ignore,47,1,"image,script,stylesheet,document"
vzpstatic.cz,,,accept,46,1,"stylesheet,script,image,font"
novydenik.com,,,ignore,45,1,image
vzpstatic.cz,,,ignore,45,1,"stylesheet,script,image,font"
iprima.cz,,,reject,44,1,"document,script,fetch,image"
novydenik.com,,,reject,44,1,image
sgcdn.cz,,,accept,44,1,image
sgcdn.cz,,,ignore,44,1,image
sgcdn.cz,,,reject,44,1,image
vzpstatic.cz,,,reject,43,1,"stylesheet,script,image,font"
pencdn.cz,,,accept,42,1,"image,script,stylesheet,font"
pencdn.cz,,,ignore,42,1,"image,script,stylesheet,font"
pencdn.cz,,,reject,42,1,"image,script,stylesheet,font"
financnisprava.gov.cz,,,accept,32,1,"document,stylesheet,script,image,other"
financnisprava.gov.cz,,,ignore,32,1,"document,stylesheet,script,image,other"
financnisprava.gov.cz,,,reject,32,1,"document,stylesheet,script,image,other"
ijobs.cz,,,accept,30,1,"stylesheet,script,image"
ijobs.cz,,,ignore,30,1,"stylesheet,script,image"
ijobs.cz,,,reject,30,1,"stylesheet,script,image"
cdninstagram.com,,,accept,29,1,"stylesheet,script,image,font"
cdninstagram.com,,,ignore,29,1,"stylesheet,script,image,font"
cdninstagram.com,,,reject,29,1,"stylesheet,script,image,font"
iprima.cz,,,ignore,29,1,"document,script,fetch,image"
iprima.cz,,,accept,26,1,"document,script,fetch,image"
luigisbox.com,,,accept,26,1,ping
luigisbox.com,,,ignore,26,1,ping
cloudimg.io,,,accept,23,1,image
cloudimg.io,,,ignore,23,1,image
cloudimg.io,,,reject,23,1,image
novydenik.com,,,accept,23,1,image
lmc.cz,,,accept,22,1,image
lmc.cz,,,ignore,22,1,image
lmc.cz,,,reject,22,1,image
hptronic.cz,,,accept,20,1,"fetch,xhr,image"
hptronic.cz,,,reject,20,1,"fetch,xhr,image"
rmcl.cz,,,accept,18,1,image
rmcl.cz,,,ignore,18,1,image
rmcl.cz,,,reject,18,1,image
piwik.pro,,,reject,17,1,"script,xhr,ping"
outfindo.com,,,accept,16,1,"script,fetch"
outfindo.com,,,ignore,16,1,"script,fetch"
outfindo.com,,,reject,16,1,"script,fetch"
piwik.pro,,,accept,16,1,"script,xhr,ping"
piwik.pro,,,ignore,16,1,"script,xhr,ping"
hptronic.cz,,,ignore,15,1,"fetch,xhr,image"
awswaf.com,,,accept,14,1,"script,fetch"
captcha-delivery.com,,,accept,14,1,"script,document,stylesheet,image,font"
captcha-delivery.com,,,ignore,14,1,"script,document,stylesheet,image,font"
captcha-delivery.com,,,reject,14,1,"script,document,stylesheet,image,font"
centrum.cz,,,accept,13,1,"fetch,image"
centrum.cz,,,ignore,13,1,"fetch,image"
centrum.cz,,,reject,13,1,"fetch,image"
isds.cz,,,accept,13,1,"script,stylesheet,font,image"
isds.cz,,,ignore,13,1,"script,stylesheet,font,image"
isds.cz,,,reject,13,1,"script,stylesheet,font,image"
clicktale.net,,,accept,12,1,"script,xhr,image"
revive-adserver.net,,,accept,12,1,"script,xhr,image"
revive-adserver.net,,,ignore,12,1,"script,xhr,image"
blob:https://challenges.cloudflare.com/2673b68b-3056-4cfe-8b82-3cc6398e3608,,,reject,11,1,script
blob:https://challenges.cloudflare.com/3e6fb635-429a-423d-8768-e6525b6294bc,,,ignore,11,1,script
blob:https://challenges.cloudflare.com/5b9359cb-13c2-4643-b9c1-aec17327bf7b,,,accept,11,1,script
blob:https://challenges.cloudflare.com/66bbec83-63b5-4b5a-97f1-8408c69af89c,,,ignore,11,1,script
blob:https://challenges.cloudflare.com/b42673bf-3fef-41e3-93d7-ee7b25e8be4a,,,accept,11,1,script
blob:https://challenges.cloudflare.com/c513e647-b60b-4d97-b8d2-4af6c4772c6c,,,reject,11,1,script
blob:https://challenges.cloudflare.com/f1895922-8303-4b09-99c5-36ac323f61a1,,,ignore,11,1,script
x.com,,,accept,11,1,"document,xhr"
x.com,,,ignore,11,1,"document,xhr"
cookiebot.eu,,,reject,10,1,"script,document,xhr"
loggly.com,,,accept,10,1,ping
loggly.com,,,ignore,10,1,ping
x.com,,,reject,10,1,"document,xhr"
loggly.com,,,reject,9,1,ping
awswaf.com,,,ignore,8,1,"script,fetch"
blueridgeloop.com,,,accept,8,1,"script,xhr,image"
blueridgeloop.com,,,ignore,8,1,"script,xhr,image"
blueridgeloop.com,,,reject,8,1,"script,xhr,image"
cookiebot.eu,,,accept,8,1,"script,document,xhr"
cookiebot.eu,,,ignore,8,1,"script,document,xhr"
flagcdn.com,,,accept,8,1,image
flagcdn.com,,,ignore,8,1,image
flagcdn.com,,,reject,8,1,image
jhmt.cz,,,ignore,8,1,"script,image"
npx.cz,,,accept,8,1,script
npx.cz,,,ignore,8,1,script
npx.cz,,,reject,8,1,script
pracecdn.cz,,,accept,8,1,"script,stylesheet,image"
pracecdn.cz,,,ignore,8,1,"script,stylesheet,image"
pracecdn.cz,,,reject,8,1,"script,stylesheet,image"
predu.sk,,,accept,8,1,"script,stylesheet,image"
predu.sk,,,ignore,8,1,"script,stylesheet,image"
primacdn.cz,,,accept,8,1,script
primacdn.cz,,,ignore,8,1,script
primacdn.cz,,,reject,8,1,script
revive-adserver.net,,,reject,8,1,"script,xhr,image"
upscore.com,,,accept,8,1,"script,fetch,ping"
upscore.com,,,ignore,8,1,"script,fetch,ping"
upscore.com,,,reject,8,1,"script,fetch,ping"
nr-data.net,New Relic,analytics,reject,7,1,"xhr,ping"
