third_party_domain,tracker_entity,tracker_category,consent_mode,requests,sites_present,resource_types
blob:https://www.drmax.cz/1a4c2802-6a30-4905-8c40-5f66c6863034,,,reject,1,1,script
blob:https://www.drmax.cz/5681c976-fc28-4f28-90d5-817e1c1cfdc7,,,ignore,1,1,script
blob:https://www.drmax.cz/76026996-ee77-49cf-9b81-b21bd6ab8353,,,accept,1,1,script
blob:https://www.drmax.cz/9a9ba4c2-7858-42ad-b86b-056bc05ec0d2,,,ignore,1,1,script
blob:https://www.drmax.cz/bb020c59-4959-4329-a04a-0eefd2c63f25,,,accept,1,1,script
blob:https://www.heureka.cz/1238637a-27d7-4482-b139-a5c59ee0a5ff,,,ignore,1,1,script
blob:https://www.heureka.cz/140460a6-3cfb-459b-96f7-a104a9bf0bbe,,,ignore,1,1,script
blob:https://www.heureka.cz/151d6d5f-0764-44a4-bd0b-851a6bd943ff,,,reject,1,1,script
blob:https://www.heureka.cz/17835b2e-6aea-4876-aa22-099967f95e88,,,reject,1,1,script
blob:https://www.heureka.cz/71cbbc49-8d15-4eed-a241-7b64a23c451d,,,accept,1,1,script
blob:https://www.heureka.cz/7a939612-ab21-4834-8558-686b5dcc93e0,,,reject,1,1,script
blob:https://www.heureka.cz/91cf6ca0-11e2-4e2f-a59c-79dfc4c4635f,,,ignore,1,1,script
blob:https://www.heureka.cz/a2c96f71-78da-41c1-a8c7-c6e1d9b39ee7,,,accept,1,1,script
blob:https://www.heureka.cz/abcf55c6-0d02-4b16-a745-0d856a4ce838,,,reject,1,1,script
blob:https://www.heureka.cz/b4703910-eb5c-4f6d-aed3-2a23fc30a652,,,accept,1,1,script
blob:https://www.heureka.cz/c568ff72-f835-44ae-a039-34d6a86f14c0,,,accept,1,1,script
blob:https://www.heureka.cz/d0352464-18e3-4d5a-bca4-e15f08be2fc6,,,accept,1,1,script
blob:https://www.heureka.cz/d40bce80-7604-4888-88e9-9154293f7ffd,,,accept,1,1,script
blob:https://www.heureka.cz/f3a8a21f-56ad-4d54-bec2-c4dd04253b01,,,ignore,1,1,script
blob:https://www.iprima.cz/cefe27b6-3449-404b-b4d2-15a1d002db58,,,ignore,1,1,script
blob:https://www.notino.cz/129809d7-237c-40d8-bf5f-ecb57ac034e8,,,reject,1,1,script
blob:https://www.notino.cz/2ecaca71-e607-478a-9673-fc287ce03e1f,,,ignore,1,1,script
blob:https://www.notino.cz/3a38e775-ae4b-469e-848a-2136c549b5c6,,,accept,1,1,script
blob:https://www.notino.cz/58e8b308-89d8-4388-add4-ea426b5b9158,,,accept,1,1,script
blob:https://www.notino.cz/7e0bc4a6-042a-4b26-b00b-2a289ce4da0e,,,reject,1,1,script
blob:https://www.notino.cz/82a6ecc4-499d-489e-9624-f2df34e83a3f,,,accept,1,1,script
blob:https://www.notino.cz/9a9f96cc-3ac6-4149-a389-4d8223873cac,,,ignore,1,1,script
blob:https://www.notino.cz/dae01769-478e-494e-a410-31ec73f30766,,,ignore,1,1,script
blob:https://www.notino.cz/f0af7c9c-5eb0-45ae-91d2-1097f4a02457,,,ignore,1,1,script
blob:https://www.notino.cz/f1a49644-356a-488f-aeba-43e8fddfd559,,,reject,1,1,script
blob:https://www.notino.cz/f2f6f335-17ff-4f0e-8e8e-b8f9c331b507,,,reject,1,1,script
blob:https://www.notino.cz/f7ac8bef-ef08-41bd-97ea-50888497359d,,,accept,1,1,script
blob:https://www.tsbohemia.cz/0587dc56-ee0b-47e0-8633-c0000f89bda9,,,ignore,1,1,script
blob:https://www.tsbohemia.cz/20202e38-cd01-436a-b54d-ce69900e5261,,,reject,1,1,script
blob:https://www.tsbohemia.cz/6de7db09-c1cc-4e18-885c-3bd78bb6161e,,,accept,1,1,script
blob:https://www.tsbohemia.cz/7beb19d1-07eb-4191-a3b8-b649db112921,,,reject,1,1,script
blob:https://www.tsbohemia.cz/876953aa-7477-4b06-8ab9-da3bd6e68e88,,,accept,1,1,script
blob:https://www.tsbohemia.cz/8c2a8f7b-c866-453b-936d-2c110b1c6076,,,ignore,1,1,script
blob:https://www.tsbohemia.cz/926f6d28-f1db-4ea8-b7c1-76deb7b49539,,,reject,1,1,script
blob:https://www.tsbohemia.cz/9c305a77-49d2-4ec2-8c24-0319f902f49e,,,reject,1,1,script
blob:https://www.tsbohemia.cz/c219a2c8-8e82-4298-8d41-798b2a0e2065,,,reject,1,1,script
blob:https://www.tsbohemia.cz/c3a45c69-553e-48ca-900d-fd629017e5d1,,,accept,1,1,script
blob:https://www.tsbohemia.cz/e1d54d42-17f7-4e06-a43e-d49ca3724147,,,accept,1,1,script
blob:https://www.tsbohemia.cz/ed0e6f54-a7ec-41fa-89d1-5eb63682132a,,,reject,1,1,script
blob:https://www.tsbohemia.cz/f9a13560-4358-4536-9538-18cc372395ff,,,ignore,1,1,script
blob:https://www.tsbohemia.cz/fccf097b-8f15-4dc6-9fa2-2e2ee39d1d6e,,,ignore,1,1,script
blob:https://x.com/1190b12e-e925-4086-b40a-620d5928795a,,,reject,1,1,script
blob:https://x.com/80e0226c-b8e7-4155-9fa1-9e887f1b22b9,,,accept,1,1,script
blob:https://x.com/842f3fd5-820f-4ff1-b0bc-5caa1f0b7a4c,,,accept,1,1,script
blob:https://x.com/a397983b-9aa7-44d0-8480-e213a99c722e,,,ignore,1,1,script
blob:https://x.com/b1689ce1-60a4-4b8b-a0de-dddcdd1676de,,,ignore,1,1,script
blob:https://x.com/fd31894c-c361-4d39-bb75-d54d89a00e4a,,,reject,1,1,script
chalupari-zahradkari.cz,,,accept,1,1,image
chalupari-zahradkari.cz,,,ignore,1,1,image
chalupari-zahradkari.cz,,,reject,1,1,image
cnstrc.com,,,accept,1,1,script
cntmbr.com,,,accept,1,1,image
customize.cz,,,accept,1,1,fetch
customize.cz,,,ignore,1,1,fetch
customize.cz,,,reject,1,1,fetch
digitaloceanspaces.com,,,accept,1,1,xhr
eu-1-id5-sync.com,,,ignore,1,1,fetch
evergage.com,,,accept,1,1,ping
evergage.com,,,reject,1,1,ping
featureassets.org,,,accept,1,1,fetch
featureassets.org,,,ignore,1,1,fetch
featureassets.org,,,reject,1,1,fetch
googleadservices.com,Google,advertising,ignore,1,1,script
googleadservices.com,Google,advertising,reject,1,1,script
hotjar.io,,,accept,1,1,ping
hotjar.io,,,ignore,1,1,ping
id5-sync.com,,,reject,1,1,script
in-lifestyle.cz,,,accept,1,1,image
in-lifestyle.cz,,,ignore,1,1,image
in-lifestyle.cz,,,reject,1,1,image
indexww.com,,,accept,1,1,document
kroniqa.cz,,,accept,1,1,image
kroniqa.cz,,,ignore,1,1,image
kroniqa.cz,,,reject,1,1,image
kununu.cz,,,accept,1,1,xhr
mapy.cz,,,accept,1,1,script
mapy.cz,,,ignore,1,1,script
mapy.cz,,,reject,1,1,script
maxa.cz,,,accept,1,1,image
maxa.cz,,,ignore,1,1,image
maxa.cz,,,reject,1,1,image
meiro.app,,,ignore,1,1,fetch
meiro.app,,,reject,1,1,fetch
meiro.io,,,accept,1,1,fetch
microsoft.com,Microsoft,analytics,accept,1,1,other
microsoft.com,Microsoft,analytics,ignore,1,1,other
microsoft.com,Microsoft,analytics,reject,1,1,other
mmamag.cz,,,accept,1,1,image
mmamag.cz,,,ignore,1,1,image
mmamag.cz,,,reject,1,1,image
newrelic.com,New Relic,analytics,ignore,1,1,script
onthe.io,,,accept,1,1,script
onthe.io,,,ignore,1,1,script
pahter.tech,,,accept,1,1,script
pahter.tech,,,ignore,1,1,script
pahter.tech,,,reject,1,1,script
pearshealthcyber.com,,,accept,1,1,xhr
pearshealthcyber.com,,,ignore,1,1,xhr
pearshealthcyber.com,,,reject,1,1,xhr
quantserve.com,Quantcast,advertising,ignore,1,1,script
r2.dev,,,accept,1,1,image
realtimesearchresults.com,,,ignore,1,1,document
realtimesearchresults.com,,,reject,1,1,document
sail-horizon.com,,,accept,1,1,script
sail-personalize.com,,,accept,1,1,fetch
sail-track.com,,,accept,1,1,fetch
scorecardresearch.com,,,ignore,1,1,script
searchnowexpert.com,,,accept,1,1,document
sentry.io,Sentry,analytics,ignore,1,1,fetch
sentry.io,Sentry,analytics,reject,1,1,fetch
src:https://cdn.siteone.io/airbank.cz/_next/static/media/underline.860be9f2.svg;height:7px;width:117px;blur-width:0;blur-height:0;,,,accept,1,1,image
src:https://cdn.siteone.io/airbank.cz/_next/static/media/underline.860be9f2.svg;height:7px;width:117px;blur-width:0;blur-height:0;,,,reject,1,1,image
t.co,Twitter/X,social,ignore,1,1,image
t.co,Twitter/X,social,reject,1,1,image
tealiumiq.com,,,ignore,1,1,image
techzpravy.cz,,,accept,1,1,image
techzpravy.cz,,,ignore,1,1,image
techzpravy.cz,,,reject,1,1,image
tiqcdn.com,,,ignore,1,1,script
trackad.cz,,,ignore,1,1,script
trustpay.eu,,,accept,1,1,script
trustpay.eu,,,ignore,1,1,script
trustpay.eu,,,reject,1,1,script
vlmedia.cz,,,accept,1,1,document
wikimedia.org,,,reject,1,1,ping
workers.dev,,,ignore,1,1,fetch
workers.dev,,,reject,1,1,fetch
yfdnza.com,,,accept,1,1,document
yfdpco1.com,,,reject,1,1,document
yfdpco2.com,,,ignore,1,1,document
yimg.com,,,accept,1,1,other
yimg.com,,,ignore,1,1,other
yimg.com,,,reject,1,1,other
yimg.jp,,,accept,1,1,script
zlutakocka.cz,,,accept,1,1,image
zlutakocka.cz,,,ignore,1,1,image
zlutakocka.cz,,,reject,1,1,image
