url,domain,category,rank_slovak
https://www.nameserver.sk,nameserver.sk,other,106
https://www.financnasprava.sk,financnasprava.sk,other,107
https://www.webglobe.sk,webglobe.sk,other,108
https://www.stvr.sk,stvr.sk,entertainment,109
https://www.hostcreators.sk,hostcreators.sk,other,110
https://www.bistro.sk,bistro.sk,other,111
https://www.mtbiker.sk,mtbiker.sk,other,112
https://www.1lib.sk,1lib.sk,other,113
https://www.uniza.sk,uniza.sk,education,114
https://www.ifortuna.sk,ifortuna.sk,other,115
https://www.swan.sk,swan.sk,other,116
https://www.dsidata.sk,dsidata.sk,other,117
https://www.telecom.sk,telecom.sk,other,118
https://www.wbsk.sk,wbsk.sk,other,119
https://www.cdn-zlib.sk,cdn-zlib.sk,other,120
https://www.active24.sk,active24.sk,news,121
https://www.autodielygafa.sk,autodielygafa.sk,other,122
https://www.platon.sk,platon.sk,other,123
https://www.estranky.sk,estranky.sk,other,124
https://www.host.sk,host.sk,other,125
https://www.t-com.sk,t-com.sk,other,126
https://www.centrum.sk,centrum.sk,other,127
https://www.glami.sk,glami.sk,other,128
https://www.sita.sk,sita.sk,tech,129
https://www.tipsport.sk,tipsport.sk,entertainment,130
https://www.orsr.sk,orsr.sk,other,131
https://www.zalando.sk,zalando.sk,other,132
https://www.sashe.sk,sashe.sk,other,133
https://www.refresher.sk,refresher.sk,other,134
https://www.nextra.sk,nextra.sk,other,135
https://www.drmax.sk,drmax.sk,other,136
https://www.mellone.sk,mellone.sk,other,137
https://www.doxxbet.sk,doxxbet.sk,other,138
https://www.sav.sk,sav.sk,other,139
https://www.modrykonik.sk,modrykonik.sk,other,140
https://www.mojevideo.sk,mojevideo.sk,entertainment,141
https://www.etipos.sk,etipos.sk,other,142
https://www.dobrenoviny.sk,dobrenoviny.sk,news,143
https://www.hlavnespravy.sk,hlavnespravy.sk,other,144
https://www.exohosting.sk,exohosting.sk,other,145
https://www.o2.sk,o2.sk,other,146
https://www.vinted.sk,vinted.sk,other,147
https://www.benulekaren.sk,benulekaren.sk,health,148
https://www.gymbeam.sk,gymbeam.sk,other,149
https://www.nethost.sk,nethost.sk,other,150
https://www.pantarhei.sk,pantarhei.sk,other,151
https://www.hockeyslovakia.sk,hockeyslovakia.sk,other,152
https://www.streameast.sk,streameast.sk,other,153
https://www.nbs.sk,nbs.sk,other,154
https://www.telekom.sk,telekom.sk,other,155
https://www.webnode.sk,webnode.sk,other,156
https://www.muziker.sk,muziker.sk,other,157
https://www.imeteo.sk,imeteo.sk,other,158
https://www.obi.sk,obi.sk,other,159
https://www.socpoist.sk,socpoist.sk,other,160
https://www.aboutyou.sk,aboutyou.sk,other,161
https://www.interez.sk,interez.sk,other,162
https://www.favi.sk,favi.sk,other,163
